Tag_name,Frequency
#Foodieincarnate,3
#reelitfeelit,2
#reelkarofeelkaro,4
#reelsinstagram,4
#reels,5
#maggi,1
#masalamaggi,1
#streetfood,15
#indianstreetfood,14
#foodieincarnate,5
#sodelhi,13
#newdelhi,3
#foodtalkindia,13
#desifood,2
#delhigram,13
#indianfood,17
#thali,1
#gulabjamun,1
#paneer,1
#ahmedabadfood,1
#ahmedabadfoodie,1
#gujaratifood,2
#biryani,1
#manchurian,1
#papad,1
#lassi,2
#paneertikka,1
#meerutfood,1
#mumbaifoodblogger,5
#indianfoodblogger,13
#delhifoodblogger,14
#northindian,1
#northindianfood,2
#gujju,1
#ahmedabadblogger,1
#platter,1
#indianfoodie,3
#thingstodoinmumbai,1
#indiancuisine,1
#foodgasm,12
#foodporn,12
#foodpornshare,2
#foodlover,2
#foodgram,2
#foodiesofinstagram,12
#foodie,14
#delhistreetfood,12
#streetfoodindia,3
#mumbaistreetfood,6
#delhifoodie,14
#foodblogger,14
#desikhana,12
#indianfoodbloggers,12
#delhifood,12
#mumbai,2
#delhi,13
#bullet,1
#sandwich,3
#Reelitfeelit,2
#mohanthal,1
#diwaliseason,1
#mithai,1
#dosa,1
#southindianfood,1
#beetroot,1
#raipur,1
#Collaboration,1
#McDowellsNo1,1
#ChooseOriginal,1
#NayiNo1,1
#WhiskykaOriginalTaste,1
#DrinkResponsibly,1
#Ad,2
#airtelThanks,1
#DigiGold,2
#FoodieIncarnate,1
#airtelThanksApp,1
#AirtelPaymentsBank,1
#KhushiyaanDoubleKare,1
#AmazonGreatIndianFestival,2
#BoxesofHappiness,1
#GroceriesOnAmazon,1
#BoxesOfHappiness,1
#diwaligift,1
#diwalishopping,1
#diwalioffer,1
#diwalioffers,1
#diwalidiscount,1
#diwalihamper,1
#amazon,1
#amazonindia,1
#happydiwali,1
#nagpur,1
#cottoncandy,1
#streefood,1
#chaap,1
#kathiroll,1
#LetsTalk,3
#SouthIndianCuisine,1
#HangoverCures,1
#HotFind,2
#PartySnacks,1
#DiwaliParty,2
#foodfaves,7
#food,9
#foodguides,1
#nationalsandwichday,2
#sandwichporn,2
#nationalnachoday,1
#comfortfood,1
#nachos,1
#birratacos,1
#tacos,1
#mexicanfood,1
#newyorkcity,5
#diwali2021,1
#JetPuffedSmoagie,1
#foodculture,1
#foodscene,1
#heresmyfood,1
#greek,1
#mediterraneanfood,1
#restaurantopenings,1
#Guacamole,1
#Avocados,1
#Mint,1
#Basil,1
#Tarragon,1
#Cilantro,1
#Serrano,1
#italianfood,1
#italiansandwich,1
#oldschool,1
#meltedcheese,1
#sandwichesofinstagram,1
#sandwichlover,1
#icecream,2
#icecreamlover,1
#smores,1
#kithnyc,1
#yum,1
#latteart,1
#latte,1
#oceanside,1
#pumpkin,1
#malibu,1
#california,1
#farmtotable,1
#coffeelover,1
#Pizza,1
#FeelItReelIt,3
#Food_Lunatic,4
#ReelsVideo,1
#ReelsInstagram,1
#Explore,1
#ExplorePage,1
#RelatableMemes,1
#Relatable,1
#FoodBloggers,1
#Money,1
#DelhiFoodBlogger,1
#Delhi,1
#Delhi_igers,1
#All_Shots,1
#Tasty,1
#Delhifoodie,1
#reel,1
#Feelkaroreelkaro,1
#tbt,1
#india,1
#delhi_igers,3
#lifestyle,1
#buzzfeedfood,3
#delhidiaries,12
#bhaidooj,1
#siblings,1
#festivals,1
#picoftheday,2
#food_lunatic,3
#foodbloggers,1
#all_shots,2
#love,1
#lovehate,1
#famjam,1
#family,1
#soulfood,2
#garlicbread,1
#foodies,1
#tasty,1
#cheese,1
#foodphotography,11
#recipevideo,1
#Recipe,1
#easyrecipe,1
#yummy,1
#foodcoma,1
#Diwali,3
#Diwali2021,3
#chicken,1
#foodlove,1
#diwali,1
#Sweets,2
#QuickRecipes,1
#DiwaliVibes,1
#DiwaliSweets,1
#Laddu,1
#Happiness,1
#Maggi,1
#Reel,1
#Reels,1
#FeelKaroReelKaro,1
#foodstagram,10
#mumbaifoodie,3
#delhiblogger,10
#zingyzest,10
#instafood,10
#bhfyp,10
#thefoodcult,6
#trending,2
#explore,1
#pasta,1
#explorepage,3
#swipeleft,1
#pizza,1
#shake,1
#kachori,1
#potato,1
#exploremore,1
