Word,Frequency
Tandoori,2
Maggi,1
PRO,1
MAX🔥🔥.Watch,1
the,42
full,5
video,5
on,16
my,9
YouTube,3
channel.,3
Link,3
is,19
in,21
bio🤗🤗.#Foodieincarnate,2
#reelitfeelit,2
#reelkarofeelkaro,4
#reelsinstagram,4
#reels,5
#maggi,1
#masalamaggi,1
#streetfood,15
#indianstreetfood,14
North,1
Indian,5
ThaIi,1
goals😍😍,1
Can,1
you,19
finish,1
it,6
alone??😋😋.Had,1
at,11
Sugar,2
n,1
Spice,1
Ahmedabad.,1
Priced,1
Rs,1
"1249,",1
had,1
like,2
40,1
dishes,2
it.,1
Taste,1
of,26
most,2
was,2
okayish,1
but,2
it's,1
quantity,1
enough,1
for,27
4,2
people.,1
Worth,1
trying,1
once.👍🏻.#foodieincarnate,1
#sodelhi,13
#newdelhi,3
#foodtalkindia,13
#desifood,2
#delhigram,13
#indianfood,17
#thali,1
#gulabjamun,1
#paneer,1
#ahmedabadfood,1
#ahmedabadfoodie,1
#gujaratifood,2
#biryani,1
#manchurian,1
#papad,1
#lassi,2
#paneertikka,1
#meerutfood,1
#mumbaifoodblogger,5
#indianfoodblogger,13
#delhifoodblogger,4
#northindian,1
#northindianfood,2
#gujju,1
#ahmedabadblogger,1
#platter,1
#indianfoodie,3
#thingstodoinmumbai,1
#indiancuisine,1
Man,1
Selling,1
Sandwich,2
his,1
Bullet,1
Bike😱😱Kindly,1
watch,2
"location,",2
price,3
&,4
other,2
details🤗🤗.#foodieincarnate,2
#foodgasm,12
#foodporn,12
#foodpornshare,2
#foodlover,2
#foodgram,2
#foodiesofinstagram,12
#foodie,14
#delhistreetfood,12
#streetfoodindia,3
#mumbaistreetfood,6
#delhifoodie,14
#foodblogger,14
#desikhana,12
#indianfoodbloggers,12
#delhifood,12
#mumbai,2
#delhi,13
#bullet,1
#sandwich,3
Mohanthal,1
Making,1
Huge,1
Quantity🤩🤩.Watch,1
,4
#Reelitfeelit,2
#mohanthal,1
#diwaliseason,1
#mithai,1
PINK,1
PANTHER,1
DOSA,1
Raipur🐆😱.Watch,1
bio🤗🤗.#foodieincarnate,1
#dosa,1
#southindianfood,1
#beetroot,1
#raipur,1
#Collaboration,1
Aapne,1
abhi,1
tak,1
Original,1
whisky,5
pee,1
ya,1
nahi?,1
Nahi,1
samjhe?,1
Toh,1
jaldi,1
se,1
No1,1
shop,2
pe,1
lage,1
QR,1
code,1
ko,1
scan,1
kijiye,1
aur,2
jaan,1
jaiye!#McDowellsNo1,1
#ChooseOriginal,1
#NayiNo1,1
#WhiskykaOriginalTaste#DrinkResponsibly,1
#Ad,2
Most,1
awaited,1
festival,1
year,1
here!,1
Start,1
your,22
journey,1
with,10
@airtelpaymentsbank,1
this,9
festive,1
season,2
and,29
gift,2
DigiGold,2
to,36
friends,4
family.,1
With,1
Airtel,1
Payments,1
"Bank,",1
can,5
buy,2
starting,1
Re.1.,1
The,3
gold,2
purchased,1
by,3
customers,1
stored,1
securely,1
SafeGold,1
ensuring,1
that,4
safe.,1
So,1
what,3
are,5
waiting,1
for?,1
Download,1
#airtelThanks,1
App,1
today,1
follow,1
simple,1
steps,1
open,3
savings,1
account,1
#DigiGold...Wishing,1
family,2
a,36
very,1
Happy,3
Diwali!..#FoodieIncarnate,1
#DigiGold,1
#airtelThanksApp,1
#AirtelPaymentsBank,1
#KhushiyaanDoubleKare,1
Diwali,4
almost,1
"here,",1
still,1
wondering,1
loved,2
